0	main-captions	MSRvid	2012test	0001	none	none	A plane is taking off.	An air plane is taking off.	5.000
1	main-captions	MSRvid	2012test	0004	none	none	A man is playing a large flute.	A man is playing a flute.	3.800
2	main-captions	MSRvid	2012test	0005	none	none	A man is spreading shreded cheese on a pizza.	A man is spreading shredded cheese on an uncooked pizza.	3.800
3	main-captions	MSRvid	2012test	0006	none	none	Three men are playing chess.	Two men are playing chess.	2.600
5	main-captions	MSRvid	2012test	0011	none	none	Some men are fighting.	Two men are fighting.	4.250
6	main-captions	MSRvid	2012test	0012	none	none	A man is smoking.	A man is skating.	0.500
7	main-captions	MSRvid	2012test	0013	none	none	The man is playing the piano.	The man is playing the guitar.	1.600
10	main-captions	MSRvid	2012test	0017	none	none	The man hit the other man with a stick.	The man spanked the other man with a stick.	4.200
11	main-captions	MSRvid	2012test	0018	none	none	A woman picks up and holds a baby kangaroo.	A woman picks up and holds a baby kangaroo in her arms.	4.600
14	main-captions	MSRvid	2012test	0021	none	none	A man is running on the road.	A panda dog is running on the road.	1.667
15	main-captions	MSRvid	2012test	0022	none	none	A dog is trying to get bacon off his back.	A dog is trying to eat the bacon on its back.	3.750
16	main-captions	MSRvid	2012test	0025	none	none	The polar bear is sliding on the snow.	A polar bear is sliding across the snow.	5.000
17	main-captions	MSRvid	2012test	0026	none	none	A woman is writing.	A woman is swimming.	0.500
19	main-captions	MSRvid	2012test	0029	none	none	The man is riding a horse.	A man is riding on a horse.	5.000
20	main-captions	MSRvid	2012test	0030	none	none	A man pours oil into a pot.	A man pours wine in a pot.	3.200
21	main-captions	MSRvid	2012test	0031	none	none	A man is playing a guitar.	A girl is playing a guitar.	2.800
22	main-captions	MSRvid	2012test	0032	none	none	A panda is sliding down a slide.	A panda slides down a slide.	4.600
23	main-captions	MSRvid	2012test	0034	none	none	A woman is eating something.	A woman is eating meat.	3.000
27	main-captions	MSRvid	2012test	0042	none	none	A rabbit is running from an eagle.	A hare is running from a eagle.	4.200
29	main-captions	MSRvid	2012test	0046	none	none	A girl is flying a kite.	A girl running is flying a kite.	4.000
30	main-captions	MSRvid	2012test	0047	none	none	A man is riding a mechanical bull.	A man rode a mechanical bull.	4.000
31	main-captions	MSRvid	2012test	0048	none	none	The man is playing the guitar.	A man is playing a guitar.	4.909
32	main-captions	MSRvid	2012test	0050	none	none	A woman is dancing and singing with other women.	A woman is dancing and singing in the rain.	3.000
33	main-captions	MSRvid	2012test	0052	none	none	A man is slicing a bun.	A man is slicing an onion.	2.400
34	main-captions	MSRvid	2012test	0053	none	none	A man is pouring oil into a pan.	A man is pouring oil into a skillet.	4.200
35	main-captions	MSRvid	2012test	0054	none	none	A lion is playing with people.	A lion is playing with two men.	3.400
36	main-captions	MSRvid	2012test	0055	none	none	A dog rides a skateboard.	A dog is riding a skateboard.	5.000
38	main-captions	MSRvid	2012test	0057	none	none	A woman is slicing an onion.	A man is cutting an onion.	2.750
39	main-captions	MSRvid	2012test	0058	none	none	A woman peels shrimp.	A woman is peeling shrimp.	5.000
40	main-captions	MSRvid	2012test	0059	none	none	A woman is frying fish.	A woman is cooking fish.	4.000
41	main-captions	MSRvid	2012test	0061	none	none	A woman is playing an electric guitar.	A woman is playing a guitar.	3.600
